Timestamp,Download Speed (Mbps),Upload Speed (Mbps),Ping (ms),Jitter (ms),Packet Loss (%)
12/03/2024 21:24,85.95,22.79,15.75,2.12,0.00
12/03/2024 21:26,83.61,21.85,14.98,0.92,0.00
12/03/2024 21:28,94.09,23.43,13.91,2.07,0.00
12/04/2024 20:08,105.07,23.23,14.40,1.11,0.00
12/05/2024 20:32,99.61,23.56,15.17,1.16,0.00
12/05/2024 20:35,91.59,23.42,14.63,1.18,0.00
12/05/2024 20:36,93.40,23.13,14.15,2.01,0.00
12/05/2024 20:37,72.82,23.21,17.31,3.07,0.00
12/05/2024 20:39,24.69,10.69,218.66,111.47,7.34
12/05/2024 20:40,27.55,4.68,35.15,6.70,0.00
12/05/2024 20:42,24.87,14.68,26.27,3.43,0.00
12/05/2024 20:43,34.60,19.25,17.95,8.13,0.00
12/05/2024 20:46,85.44,23.22,16.25,2.62,0.00
12/05/2024 20:49,83.84,22.69,14.48,1.05,0.00
12/05/2024 20:58,86.38,22.83,16.57,4.88,0.00
12/06/2024 19:34,34.45,18.20,13.84,4.05,0.00
12/06/2024 19:42,68.57,23.53,15.32,1.53,0.00
12/06/2024 19:53,67.61,22.98,16.03,2.62,0.00
12/06/2024 20:04,92.06,23.05,15.22,1.16,0.00
12/06/2024 20:14,57.01,22.34,17.75,1.99,0.00
12/06/2024 20:29,97.36,23.66,14.53,4.64,0.44
12/06/2024 20:45,56.35,22.96,18.54,5.96,0.00
12/06/2024 21:01,79.87,23.37,14.80,7.64,0.00
12/06/2024 21:31,63.01,23.10,15.56,1.56,0.00
12/06/2024 21:47,34.02,20.75,13.83,2.92,0.00
12/06/2024 22:02,100.66,22.94,14.93,2.04,0.00
12/06/2024 22:17,102.67,23.30,13.84,0.92,0.00
12/06/2024 22:32,93.36,23.31,14.25,1.90,0.00
12/06/2024 22:47,103.42,22.91,14.64,1.00,0.00
12/06/2024 23:02,102.64,23.08,15.36,1.60,0.00
12/06/2024 23:17,97.76,23.47,15.94,7.58,0.53
12/06/2024 23:32,105.50,23.52,15.69,2.54,0.00
12/06/2024 23:47,96.03,23.38,16.63,4.11,0.00
12/07/2024 00:02,80.60,23.34,19.04,6.12,0.00
12/07/2024 00:17,66.25,23.26,15.92,3.14,0.00
12/07/2024 00:32,93.72,22.81,13.68,0.38,0.41
12/07/2024 00:47,108.49,23.50,25.59,5.79,0.00
12/07/2024 01:02,92.88,23.65,13.70,1.47,0.00
12/07/2024 01:17,94.67,22.99,14.07,0.56,0.00
12/07/2024 01:32,110.12,23.63,17.95,54.96,0.00
12/07/2024 01:47,109.68,23.68,18.24,4.19,0.00
12/07/2024 02:02,104.27,23.68,16.27,4.37,0.00
12/07/2024 02:17,101.48,23.64,16.39,1.68,0.00
12/07/2024 02:32,105.29,23.58,16.57,4.16,0.00
12/07/2024 02:47,103.70,23.65,16.58,4.61,0.00
12/07/2024 03:02,107.24,23.67,13.93,1.15,0.00
12/07/2024 03:17,108.62,23.64,13.60,0.95,0.00
12/07/2024 03:32,109.16,23.68,14.09,2.52,0.00
12/07/2024 03:47,109.63,23.55,13.81,2.48,0.00
12/07/2024 04:02,108.79,23.68,14.34,1.28,0.00
